RFCodeID,rc_rf_cfg_code,rc_vendor
41,N01A-M4-1-v1,Nokia
56,E01A-M3-1-v1,Ericsson
67,E01A-M2-1-v1,Ericsson
275,N01A-M2-1-v1,Nokia
853,E01A-M4-1-v1,Ericsson
1128,N01A-M3-1-v1,Nokia
138,E01A-M2-2-v1,Ericsson
169,E01A-M3-2-v1,Ericsson
229,N01A-M4-2-v1,Nokia
484,N01A-M3-2-v1,Nokia
794,N01A-M2-2-v1,Nokia
825,E01A-M4-2-v1,Ericsson
191,E01B-M2-1-v1,Ericsson
204,E01B-M3-1-v1,Ericsson
768,N01B-M2-1-v1,Nokia
1029,N01B-M3-1-v1,Nokia
1061,N01B-M4-1-v1,Nokia
1103,E01B-M4-1-v1,Ericsson
3,N01B-M2-2-v1,Nokia
200,E01B-M2-2-v1,Ericsson
304,E01B-M3-2-v1,Ericsson
1122,E01B-M4-2-v1,Ericsson
1142,N01B-M3-2-v1,Nokia
1344,N01B-M4-2-v1,Nokia
96,E01B-M3-3-v1,Ericsson
212,N01B-M3-3-v1,Nokia
327,E01B-M2-3-v1,Ericsson
797,N01B-M4-3-v1,Nokia
856,N01B-M2-3-v1,Nokia
1136,E01B-M4-3-v1,Ericsson
37,E02A-M3-1-v1,Ericsson
231,E02A-M2-1-v1,Ericsson
889,N02A-M2-1-v1,Nokia
939,E02A-M4-1-v1,Ericsson
1087,N02A-M4-1-v1,Nokia
1114,N02A-M3-1-v1,Nokia
14,E02A-M2-2-v1,Ericsson
265,N02A-M2-2-v1,Nokia
330,E02A-M4-2-v1,Ericsson
389,E02A-M3-2-v1,Ericsson
1108,N02A-M4-2-v1,Nokia
1158,N02A-M3-2-v1,Nokia
63,N02B-M4-1-v1,Nokia
120,E02B-M3-1-v1,Ericsson
266,E02B-M4-1-v1,Ericsson
268,E02B-M2-1-v1,Ericsson
395,N02B-M2-1-v1,Nokia
1173,N02B-M3-1-v1,Nokia
368,N02B-M2-2-v1,Nokia
492,E02B-M3-2-v1,Ericsson
527,E02B-M2-2-v1,Ericsson
539,N02B-M3-2-v1,Nokia
561,N02B-M4-2-v1,Nokia
704,E02B-M4-2-v1,Ericsson
158,E02B-M4-3-v1,Ericsson
481,E02B-M3-3-v1,Ericsson
494,N02B-M4-3-v1,Nokia
518,E02B-M2-3-v1,Ericsson
828,N02B-M2-3-v1,Nokia
931,N02B-M3-3-v1,Nokia
161,N03A-M2-1-v1,Nokia
175,E03A-M4-1-v1,Ericsson
488,E03A-M2-1-v1,Ericsson
570,N03A-M3-1-v1,Nokia
603,E03A-M3-1-v1,Ericsson
1388,N03A-M4-1-v1,Nokia
298,E03A-M4-2-v1,Ericsson
334,E03A-M3-2-v1,Ericsson
592,N03A-M2-2-v1,Nokia
812,E03A-M2-2-v1,Ericsson
1186,N03A-M3-2-v1,Nokia
