CSR_Name,CSR_Number,Site_Name,Region
Streatham Hill North,1214,Tulse Hill Telephone Exchange,UK - London
TYRRELLS WOOD,5300,Orange Tower - Lorretta Lodge,UK - London
Soho Square 3G,47637,33 Soho Square,UK - London
Royal Mint St E1,7289,BT,UK - London
South Erith (REPL 43750),94086,1-69 Becton Place C,UK - London
Velodrome Unwind,23568,National Cycling Centre Car Park (NW),UK - West
ELM PARK,5249,CS-10401_VF 78828 The Broadway West,UK - London
Replc-CSR-7831-223 High St Kensington,85323,Trailfinders Travel Agency,UK - London
Arsenal Emirates Stadium Macro 1,35234,Emirates Staduim North Stand,UK - London
Kettering,636,Kettering Telephone Cornerstone 14748 _ voda 80082,UK - South
Belfast Windsor Malone,62908,CS_19716_VF_11831,UK - North
Acomb Wood Drive,67163,Acomb Wood Drive,UK - North
Liverpool Kingsway Tunnel (B3),89095,SW at Scotland Rd/Leeds Rd,UK - West
MOTE PARK MAIDSTONE,12836,New Cutt Road Flexicell,UK - South
Muirton,39347,Gleneagles Equestrian Centre,UK - North
Unwind 79191,92700,Bomet Uk,UK - West
o/s 130a High Street Penge,100087,Arqiva Kiosk o/s 130a High Street Penge,UK - London
Battersea Micro,43727,Pret A Porter Dry Cleaners,UK - London
Cheshunt Churchgate,49553,Gateway Cheshunt,UK - South
LUTON VAUXHALL,11830,ZLU NTL Mast,UK - South
Holystone,10256,Forest Hall,UK - North
Tulloch,12962,Perth College,UK - North
Loch an Thiompain TNS,22636,Coffin Road (Heritage Path),UK - North
Siemens Mobility York,90547,Siemens Mobility York,UK - North
Durham Kepier,73791,SW Broomside Lane Belmont,UK - North
os 222 High Street Colliers Wood Merton High St,91465,Column Ref 122243,UK - London
Eccles Unwind,92585,Charles House.,UK - West
Longman,10394,Thistle Hotel,UK - North
1 Pratt St London,85430,Arqiva Ref PC063,UK - London
Caorann Mor TNS,22589,A Chraileag,UK - North
Buckingham Gate REPL 4867,73256,Westminster Chapel RT (38124143),UK - London
Unwind 4514,93024,Stallings Lane Service Station_,UK - West
Bishopthorpe Replacement,25594,Field off Appleton Road,UK - North
O/S No 246 HIGH ROAD WILLESDEN,87995,Column Ref L20220-29,UK - London
Pencaitland,70591,Fountainhall,UK - North
BEDFORD EAST,7103,Eastern Electricity Mast,UK - South
VF87721,71965,North Hyde Road SF 2,UK - London
63479 (48849) Olympic Ricoh Arena DAS_U900_3,63479,63479 (48849) Olympic Ricoh Arena DAS_U900_3,UK - South
Beddington Lane,17169,O2 Mast,UK - London
Newgate Street 2,85975,Column Ref 383/EL17,UK - London
Chester Road Sunderland,68343,Chester Road - Shiney Row,UK - North
Swindon SG18,64480,Tyco Electronics (Swindon),UK - West
KX Tunnels (Gasworks and Copenhagen),96834,KX Tunnels (Gasworks and Copenhagen),UK - London
MIDLAND RD Jn Brill Place,87242,Column ref 895156,UK - London
KEXBY LANE FARM,80583,Kexby Lane Farm greenfield,UK - South
Hersham West,48120,SF Queensway North - Option 3,UK - London
Hitchin GtG,79150,Street light replacement installation at the,UK - South
Longsight South Unwind,97539,Copthorne Crescent SW,UK - West
Long Eaton North Central,47738,Junction of Longmoor Road and Curzon St SW,UK - South
1st col on left from hitchcock rd Stratford City Energy Centre Montfichet Road Stratford Marsh,96689,FW asset ID LBN 011389,UK - London
New Parallel for 33738-O2,78928,Greenewable Business Park,UK - South
Grosvenor Street,11627,Millenium Hotel,UK - London
B3 UnWind Rep 70270o2 Rouen House,97531,Prospect House 1,UK - South
BILLING ROAD,37185,Cornerstone 4083 Voda 54040,UK - South
Gartnavel Hosp Junc Great Western Rd,93378,HILLHEAD SPORTS CLUB.,UK - West
Millbrook Proving Ground Small Cell 41,91412,MPG Hill Route Loop 3 Site 13,UK - South
North Shields West Chirton,45878,HAMAR CLOSE,UK - North
Hylton Castletown,97622,Grange Road Streetworks,UK - North
372 COLDHARBOUR LANE,88505,Column Ref D0369-85,UK - London
PATCHETTS EQUESTRIAN CENTRE,68467,PATCHETTS EQUESTRIAN CENTRE - ALDENHAM,UK - London
Euston 2 (NTQ REP 4850),85133,Euston 2 (NTQ REP 4850),UK - London
Cliftonville Belfast,1924,Westland,UK - North
Sheffield Cemetery,44982,Wilson Tupholme Ltd,UK - North
Northallerton and District Working Mens Club,46640,Northallerton and District Working Mens Club,UK - North
Surrey Quays Shopping Centre,45768,SURREY QUAYS SHOPPING CE,UK - London
Ollerton,6894,Ollerton Miners Welfare,UK - South
Whiteinch West,89142,Victoria Park SW 2,UK - West
LITTLE HEATH,42522,Eastern Avenue West SF,UK - London
Burnt Oak (NTQ 2416 Repl),76025,Merit House (2),UK - London
Arqiva 302236,73437,TRAVELODGE BOREHAMWOOD STUDIO WAY,UK - London
Caisten East,71189,Caiston/Lincolnshire Police Mast,UK - South
REIGATE RH20TU/REIGATE RH20TU,84756,GATTON BOTTOM WEST,UK - London
Grendon,3802,Spring Farm,UK - South
O2 Retail Uxbridge,35257,O2 Retail - Uxbridge,UK - London
43549 Tenter House REPL,81893,MOORGATE HALL 1,UK - London
Enhancer Sandvik Swadlincote,44878,Sandvik Swadlincote,UK - South
replc-43728-York Road Micro/Costcutter York Road,85873,Azzurro Bar,UK - London
SRN Mourne Mountains,23992,Fofanny Water Treatment Works,UK - North
O2 Retail Dumfermline Mono,36243,O2 Retail Dumfermline Mono,UK - North
Bradford Road,89081,The Green GF,UK - West
Eurotunnel 1,62870,Eurotunnel,UK - South
Camden North,46407,Bessemer Court,UK - London
Central Newton Aycliffe,98065,SW Greenwell Road-,UK - North
Bolsover -Water Tower,70461,Bolsover - Severn Trent Water Tower,UK - North
Leeds Chapeltown West Replacement for 16916,65645,SW on Stainbeck Lane (adj to Sainsburys),UK - North
Burwash,11365,Orange Mast A,UK - South
Broadhalgh Unwind,97522,Rochdale RUFC,UK - West
Crossharbour SF,71932,East Ferry Road SW,UK - London
Stirling Bridge of Allan Roundabaout,72670,Bridge of Allan Roundabaout (36511423),UK - North
Unwind 78349,92554,Unwind Site - 37439o2,UK - West
OPP VICTORIA AVENUE (CCTV) BRIGHTON ROAD,90707,Column Ref 016826,UK - London
32213_VF Leek Wooton,74413,Leek Wootton_32213vf,UK - South
19 Kew Rd Richmond,85481,Arqiva Ref PC162b,UK - London
349 3G Replacement,34096,Ajay Autos - CS12557_VF79718_0,UK - South
DAGENHAM NORTH,5238,Parsloes Avenue Street Furniture,UK - London
Sheepridge Huddersfield,23210,GF on Old Car Park,UK - North
Stonebridge Park,9767,MX Ionica Tower,UK - London
Wold Dyke Farm,72841,Wold Dyke Farm,UK - North
South (VF37245B),69404,Lamp-Post - Westfield Road,UK - South
BBC RADIO LEICESTER,67212,BBC RADIO LEICESTER,UK - South
Newtownards Abbot,71587,Abbot Drive Streetworks,UK - North
Omagh Killyclogher Killyclogher,69483,Omagh Donaghnie,UK - North
Southbury Rd Enfield London,96779,Asset ID LBE 000009,UK - London
O2 Shop Reading 3G Micorcell,35462,O2 Shop,UK - West
O/S 41/43 Beechwood Road,88422,Asset Ref 120556,UK - London
EAS1042,24402,Land North of Coladoir River 2,UK - North
Burton-upon-trent Stretton West area O2 hosted shared new,48070,Junct Harper Ave/Church View,UK - South
Holme Lee Farm Boston,73939,Holme Lee Farm,UK - South
OUTSIDE THE FOUNTAIN HOTEL & P.H MALDEN ROAD,90715,Column Ref 004016,UK - London
Gatton,5668,Vodafone - Gatton Bottom,UK - London
Millbrook Proving Ground Small Cell 38,91408,MPG Hill Route Loop 3 Site 10,UK - South
ACHNASUAL - TNS0316A,24948,MILE DORCHA WOODLAND,UK - North
Sloane Square Belgravia London,96758,Ontix Asset ID KEC10295500,UK - London
Horbury Osset Spa,45858,Streetworks - A642 Northfield,UK - North
Dorchester Rail Station,46372,BR Dorchester Station South CS 14356_Voda 4131,UK - West
FOLKESTONE Crete Road East,67161,FOLKESTONE - Crete Road East.,UK - South
Rotherham Herringthorpe,43127,Eastwood Trading Estate,UK - North
Pinkneys Green 2G (VF33264C),69635,Scottish & Southern Eletricity,UK - South
Fenham,2377,Blood Transfusion Centre,UK - North
Brig o Turk PNS,23168,Sron Armailte,UK - North
Woodpecker Cottage DICE,40107,T Bertram,UK - South
North St Anns replacement,23259,Alexandra Court.,UK - South
Bredbury Interchange Unwind,92764,Welkin Mill Chimney RT,UK - West
PCO  WELLINGTON STREET,86659,K6 2072408398,UK - London
SITWELL PARK GOLF CLUB,68359,SITWELL PARK GOLF CLUB,UK - North
Standard Life Twenty Old Bailey,22512,Standard Life Twenty Old Bailey,UK - London
West Broxbourne LTE,67692,West Broxbourne LTE,UK - South
Gleann Laoigh TNS,22607,Land at near Luibeg Footbridge,UK - North
O/S 90 NORTHCOTE ROAD,91571,Column Id 88455,UK - London
OPP STH KENSINGTON STORE-HYTHE ROAD,86255,Column Ref 33108,UK - London
The Droveway,89129,The Droveway  SW,UK - West
COLLIER ROW SOUTH EAST,17600,Land outside Yusen Air and Sea Service,UK - London
o2 Retail Chesterfield,84722,o2 Retail Chesterfield,UK - North
Chenies Street WCI,13568,Boots/211-212 Tottenham Ct Rd,UK - London
Bean,10133,Merry Chest Cafe,UK - London
Loch Maree,6261,Loch Maree,UK - North
JW  streatham place  NEW PARK ROAD,90692,Column Ref C1014-17,UK - London
Langney New,3033,LCM Car,UK - South
BECONTREE WEST,5239,MX Kilsby Walk,UK - London
Millbrook Proving Ground Small Cell 35,91403,MPG Hill Route Loop 2 Site 7,UK - South
Elm Park Gardens,46223,ELM PARK HOUSE,UK - London
Para Repl CSR-7960-221 Camberwell New Rd,85282,Clarendon Arms Pub,UK - London
WYKEN SOUTH,17801,Cornerstone 11470_Vodafone 79221_0,UK - South
CHILDS HILL,9008,ZWOR Orchard Mead,UK - London
BRADFORD ROYAL INFIRMARY,67341,BRADFORD ROYAL INFIRMARY,UK - North
EREDINE FOREST,23148,23148 - Eredine Forest,UK - North
Woodton,74866,Land at Woodton Grange,UK - South
Airton GtG,80794,Dykelands Farm,UK - North
Coseley replacement for 92627 Vodafone 4384,98060,Webb Street GF,UK - West
WOLLATON PARK SOUTH,15491,Outside NHS Health Centre,UK - South
Tilbury East (047017 repl),85167,Field off Fort Road,UK - London
Waltham Abbey North,46715,Dalance Field,UK - London
Marldon,50740,Preston Down SW,UK - West
Silsden Raikes Head Farm,71085,Raikes Head Farm,UK - North
Westgate NG18 1RY,12988,McDONALDS,UK - South
37905B_vf Stud Farm IVOR,74523,VF  Site Stud Farm,UK - South
Bow Bridge 2 (10196 Repl),71846,Hawker Court,UK - London
Vodafone 35606,70275,EMEB MAST,UK - South
O/s 63/65-Newington Green Road,86466,Column Ref 16521,UK - London
DRONFIELD,5159,Stone the Crows,UK - North
Blackheath Park,44299,Blackheath Hill (Code SW),UK - London
Seven Sisters Rd N7,6740,McDonalds,UK - London
Butterdean Farm,70519,H3G Site Share - Butterdean,UK - North
West Denton (Cornerstone ID 2168),42724,SW on West Denton Way,UK - North
Emblings Coaches,73921,Emblings Coaches,UK - South
EAST BEDFONT (5459 Perm Repl),85221,Bedfont Lake Country Park,UK - London
Pylon 4wp069_11749VF,72293,Pylon 4wp069,UK - South
Kings Lynn Centre,2939,Norfolk College,UK - South
Drumaness South,79101,Drumaness W.W.T.W,UK - North
Arqiva SC LBHF 1205880,78471,WEST FW OUTSIDE 1-6 SB MANSIONS,UK - London
ORANGE MAST READY MIX CONCRETE,67736,ORANGE MAST READY MIX CONCRETE,UK - South
Storr PNS,95583,Airwave NOR0680 Site-Share,UK - North
(86293) O2 Retail The Gyle Edinburgh 5G 1,90577,(86293) O2 Retail The Gyle Edinburgh - 5G 1,UK - North
Rotherhithe Station,47125,Nisa Local,UK - London
Jct Middle Lane-Park Road N8,86371,Column Ref 123016,UK - London
Liverpool Buckley Hill (B3),88933,Gorsey Lane SW,UK - West
Slough High Street SL1,6936,Abbey National,UK - London
o2 Retail Grove Street Wilmslow,24780,o2 Retail Grove Street Wilmslow,UK - North
Basildon GTG T3,75616,Mandeville Way  SW,UK - South
